from_id,to_id,distance_km,travel_time_minutes
4,83,0.238,1.0
4,84,0.541,1.3
4,85,0.243,1.0
4,86,0.382,1.0
4,88,0.342,1.0
4,89,0.208,1.0
4,92,0.105,1.0
4,93,0.605,1.45
4,94,0.295,1.0
4,95,0.33,1.0
4,96,0.581,1.39
4,99,0.41,1.0
4,100,0.591,1.42
4,153,0.658,1.58
4,154,0.211,1.0
4,157,0.597,1.43
4,159,0.603,1.45
4,164,0.378,1.0
4,169,0.279,1.0
4,173,0.302,1.0
4,183,0.528,1.27
4,184,0.193,1.0
4,188,0.651,1.56
4,190,0.221,1.0
4,192,0.397,1.0
4,193,0.602,1.45
4,194,0.656,1.57
4,197,0.306,1.0
4,199,0.676,1.62
4,601,0.18,1.0
4,602,0.268,1.0
4,618,0.268,1.0
5,1,0.116,1.0
5,2,0.23,1.0
5,3,0.621,1.49
5,4,0.285,1.0
5,6,0.449,1.08
5,7,0.389,1.0
5,8,0.492,1.18
5,9,0.503,1.21
5,10,0.143,1.0
5,11,0.689,1.65
5,12,0.15,1.0
5,13,0.504,1.21
5,14,0.269,1.0
5,15,0.648,1.56
5,18,0.426,1.02
5,19,0.645,1.55
5,20,0.639,1.53
5,21,0.168,1.0
5,22,0.307,1.0
5,23,0.391,1.0
5,24,0.41,1.0
5,25,0.368,1.0
5,26,0.185,1.0
5,28,0.538,1.29
5,29,0.666,1.6
5,30,0.424,1.02
5,32,0.591,1.42
5,34,0.123,1.0
5,35,0.237,1.0
5,37,0.465,1.12
5,38,0.395,1.0
5,39,0.582,1.4
5,40,0.252,1.0
5,41,0.275,1.0
5,43,0.194,1.0
5,44,0.629,1.51
5,45,0.214,1.0
5,46,0.651,1.56
5,47,0.485,1.16
5,48,0.509,1.22
5,49,0.645,1.55
5,52,0.695,1.67
5,53,0.339,1.0
5,54,0.352,1.0
5,56,0.488,1.17
5,57,0.366,1.0
5,59,0.368,1.0
5,60,0.416,1.0
5,61,0.695,1.67
5,62,0.687,1.65
5,63,0.436,1.05
5,66,0.116,1.0
5,68,0.426,1.02
5,69,0.67,1.61
5,70,0.418,1.0
5,71,0.587,1.41
5,72,0.567,1.36
5,73,0.302,1.0
5,75,0.142,1.0
5,76,0.672,1.61
5,77,0.513,1.23
5,78,0.217,1.0
5,79,0.392,1.0
5,80,0.057,1.0
5,81,0.552,1.33
5,82,0.62,1.49
5,83,0.344,1.0
5,84,0.354,1.0
5,85,0.042,1.0
5,86,0.663,1.59
5,88,0.459,1.1
5,89,0.373,1.0
5,90,0.458,1.1
5,92,0.3,1.0
5,93,0.347,1.0
5,94,0.483,1.16
5,95,0.237,1.0
5,96,0.339,1.0
5,97,0.653,1.57
5,99,0.297,1.0
5,154,0.145,1.0
5,159,0.628,1.51
5,164,0.191,1.0
5,169,0.558,1.34
5,173,0.236,1.0
5,183,0.58,1.39
5,184,0.468,1.12
5,190,0.225,1.0
5,192,0.581,1.39
5,197,0.491,1.18
5,601,0.106,1.0
5,602,0.218,1.0
5,604,0.533,1.28
5,618,0.218,1.0
6,1,0.54,1.3
6,2,0.234,1.0
6,4,0.551,1.32
6,5,0.449,1.08
6,7,0.446,1.07
6,9,0.057,1.0
6,10,0.495,1.19
6,12,0.354,1.0
6,13,0.61,1.46
6,14,0.357,1.0
6,18,0.522,1.25
6,21,0.577,1.39
6,22,0.142,1.0
6,23,0.361,1.0
6,24,0.322,1.0
6,26,0.403,1.0
6,27,0.499,1.2
6,29,0.258,1.0
6,30,0.175,1.0
6,34,0.36,1.0
6,35,0.296,1.0
6,36,0.471,1.13
6,40,0.208,1.0
6,43,0.457,1.1
6,44,0.623,1.5
6,45,0.382,1.0
6,46,0.393,1.0
6,48,0.424,1.02
6,49,0.637,1.53
6,53,0.291,1.0
6,54,0.385,1.0
6,59,0.416,1.0
6,63,0.644,1.54
6,66,0.564,1.35
6,68,0.453,1.09
6,69,0.582,1.4
6,72,0.338,1.0
6,73,0.695,1.67
6,75,0.319,1.0
6,78,0.431,1.03
6,79,0.557,1.34
6,80,0.392,1.0
6,81,0.522,1.25
6,82,0.225,1.0
6,84,0.172,1.0
6,85,0.45,1.08
6,89,0.423,1.02
6,92,0.637,1.53
6,93,0.688,1.65
6,95,0.233,1.0
6,97,0.329,1.0
6,154,0.568,1.36
6,164,0.633,1.52
6,169,0.691,1.66
6,173,0.68,1.63
6,190,0.645,1.55
6,601,0.459,1.1
6,602,0.656,1.57
6,604,0.205,1.0
6,618,0.656,1.57
7,1,0.372,1.0
7,2,0.41,1.0
7,4,0.205,1.0
7,5,0.389,1.0
7,6,0.446,1.07
7,9,0.496,1.19
7,10,0.286,1.0
7,11,0.603,1.45
7,12,0.455,1.09
7,13,0.166,1.0
7,14,0.135,1.0
7,15,0.473,1.14
7,16,0.625,1.5
7,19,0.51,1.23
7,20,0.436,1.05
7,21,0.365,1.0
7,22,0.363,1.0
7,23,0.092,1.0
7,24,0.141,1.0
7,25,0.653,1.57
7,26,0.523,1.25
7,29,0.506,1.21
7,30,0.286,1.0
7,31,0.351,1.0
7,33,0.611,1.47
7,34,0.283,1.0
7,35,0.492,1.18
7,37,0.277,1.0
7,38,0.652,1.56
7,39,0.291,1.0
7,40,0.406,1.0
7,41,0.633,1.52
7,43,0.557,1.34
7,44,0.244,1.0
7,45,0.177,1.0
7,46,0.356,1.0
7,47,0.463,1.11
7,48,0.151,1.0
7,49,0.259,1.0
7,50,0.604,1.45
7,51,0.35,1.0
7,53,0.575,1.38
7,54,0.064,1.0
7,56,0.454,1.09
7,59,0.669,1.6
7,60,0.699,1.68
7,63,0.214,1.0
7,64,0.622,1.49
7,66,0.467,1.12
7,68,0.039,1.0
7,69,0.285,1.0
7,70,0.563,1.35
7,73,0.681,1.64
7,75,0.304,1.0
7,76,0.334,1.0
7,78,0.175,1.0
7,80,0.368,1.0
7,81,0.164,1.0
7,82,0.671,1.61
7,83,0.442,1.06
7,84,0.5,1.2
7,85,0.351,1.0
7,86,0.432,1.04
7,88,0.54,1.3
7,89,0.024,1.0
7,92,0.308,1.0
7,94,0.475,1.14
7,95,0.285,1.0
7,99,0.596,1.43
7,100,0.493,1.18
7,154,0.381,1.0
7,160,0.591,1.42
7,164,0.539,1.29
7,169,0.245,1.0
7,173,0.491,1.18
7,184,0.305,1.0
7,190,0.415,1.0
7,192,0.569,1.37
7,194,0.692,1.66
7,197,0.486,1.17
7,601,0.295,1.0
7,602,0.457,1.1
7,604,0.637,1.53
7,618,0.457,1.1
8,1,0.418,1.0
8,3,0.329,1.0
8,4,0.556,1.33
8,5,0.492,1.18
8,10,0.492,1.18
8,11,0.589,1.41
8,12,0.608,1.46
8,14,0.694,1.66
8,15,0.677,1.63
8,16,0.612,1.47
8,19,0.629,1.51
8,21,0.401,1.0
8,25,0.124,1.0
8,26,0.593,1.42
8,28,0.048,1.0
8,32,0.357,1.0
8,34,0.596,1.43
8,35,0.693,1.66
8,37,0.624,1.5
8,38,0.105,1.0
8,41,0.277,1.0
8,42,0.491,1.18
8,43,0.554,1.33
8,45,0.635,1.53
8,47,0.45,1.08
8,52,0.217,1.0
8,56,0.464,1.11
8,57,0.225,1.0
8,60,0.079,1.0
8,61,0.368,1.0
8,62,0.401,1.0
8,63,0.649,1.56
8,66,0.378,1.0
8,70,0.241,1.0
8,71,0.447,1.07
8,73,0.344,1.0
8,74,0.485,1.16
8,75,0.629,1.51
8,77,0.482,1.16
8,78,0.604,1.45
8,79,0.659,1.58
8,80,0.549,1.32
8,83,0.342,1.0
8,85,0.496,1.19
8,87,0.643,1.54
8,88,0.32,1.0
8,90,0.473,1.14
8,91,0.376,1.0
8,92,0.464,1.11
8,93,0.433,1.04
8,94,0.434,1.04
8,96,0.377,1.0
8,99,0.196,1.0
8,154,0.396,1.0
8,157,0.675,1.62
8,159,0.2,1.0
8,164,0.313,1.0
8,170,0.46,1.1
8,173,0.275,1.0
8,183,0.22,1.0
8,184,0.6,1.44
8,186,0.626,1.5
8,188,0.614,1.47
8,190,0.342,1.0
8,192,0.453,1.09
8,193,0.418,1.0
8,197,0.43,1.03
8,199,0.27,1.0
8,601,0.51,1.22
8,602,0.307,1.0
8,618,0.307,1.0
9,1,0.596,1.43
9,2,0.283,1.0
9,4,0.607,1.46
9,5,0.503,1.21
9,6,0.057,1.0
9,7,0.496,1.19
9,10,0.552,1.32
9,12,0.401,1.0
9,13,0.658,1.58
9,14,0.412,1.0
9,18,0.543,1.3
9,21,0.634,1.52
9,22,0.198,1.0
9,23,0.408,1.0
9,24,0.367,1.0
9,26,0.446,1.07
9,27,0.451,1.08
9,29,0.236,1.0
9,30,0.216,1.0
9,34,0.417,1.0
9,35,0.337,1.0
9,36,0.416,1.0
9,40,0.258,1.0
9,43,0.499,1.2
9,44,0.662,1.59
9,45,0.439,1.05
9,46,0.406,1.0
9,48,0.461,1.11
9,49,0.675,1.62
9,53,0.316,1.0
9,54,0.436,1.05
9,59,0.439,1.05
9,63,0.697,1.67
9,66,0.617,1.48
9,68,0.5,1.2
9,69,0.612,1.47
9,72,0.322,1.0
9,75,0.375,1.0
9,78,0.487,1.17
9,79,0.584,1.4
9,80,0.446,1.07
9,81,0.561,1.35
9,82,0.177,1.0
9,84,0.202,1.0
9,85,0.505,1.21
9,89,0.473,1.14
9,92,0.694,1.67
9,95,0.29,1.0
9,97,0.293,1.0
9,154,0.624,1.5
9,164,0.685,1.64
9,601,0.515,1.24
9,604,0.18,1.0
10,1,0.087,1.0
10,2,0.318,1.0
10,3,0.539,1.29
10,4,0.143,1.0
10,5,0.143,1.0
10,6,0.495,1.19
10,7,0.286,1.0
10,8,0.492,1.18
10,9,0.552,1.32
10,11,0.561,1.35
10,12,0.278,1.0
10,13,0.374,1.0
10,14,0.202,1.0
10,15,0.508,1.22
10,16,0.589,1.41
10,18,0.569,1.37
10,19,0.509,1.22
10,20,0.497,1.19
10,21,0.092,1.0
10,22,0.357,1.0
10,23,0.318,1.0
10,24,0.352,1.0
10,25,0.379,1.0
10,26,0.325,1.0
10,28,0.54,1.3
10,29,0.67,1.61
10,30,0.416,1.0
10,31,0.616,1.48
10,32,0.672,1.61
10,33,0.654,1.57
10,34,0.138,1.0
10,35,0.356,1.0
10,37,0.322,1.0
10,38,0.387,1.0
10,39,0.442,1.06
10,40,0.332,1.0
10,41,0.348,1.0
10,43,0.337,1.0
10,44,0.513,1.23
10,45,0.144,1.0
10,46,0.602,1.44
10,47,0.362,1.0
10,48,0.427,1.02
10,49,0.528,1.27
10,51,0.585,1.4
10,52,0.67,1.61
10,53,0.459,1.1
10,54,0.268,1.0
10,56,0.363,1.0
10,57,0.43,1.03
10,59,0.505,1.21
10,60,0.426,1.02
10,61,0.615,1.48
10,62,0.597,1.43
10,63,0.295,1.0
10,66,0.184,1.0
10,68,0.325,1.0
10,69,0.57,1.37
10,70,0.349,1.0
10,71,0.687,1.65
10,72,0.679,1.63
10,73,0.402,1.0
10,75,0.185,1.0
10,76,0.535,1.29
10,77,0.628,1.51
10,78,0.115,1.0
10,79,0.535,1.28
10,80,0.164,1.0
10,81,0.449,1.08
10,82,0.695,1.67
10,83,0.247,1.0
10,84,0.445,1.07
10,85,0.102,1.0
10,86,0.519,1.25
10,88,0.366,1.0
10,89,0.277,1.0
10,90,0.576,1.38
10,92,0.166,1.0
10,93,0.466,1.12
10,94,0.364,1.0
10,95,0.262,1.0
10,96,0.447,1.07
10,99,0.316,1.0
10,154,0.099,1.0
10,157,0.695,1.67
10,159,0.585,1.4
10,164,0.253,1.0
10,169,0.42,1.01
10,173,0.217,1.0
10,183,0.522,1.25
10,184,0.325,1.0
10,190,0.158,1.0
10,192,0.466,1.12
10,193,0.64,1.54
10,197,0.373,1.0
10,199,0.665,1.6
10,601,0.045,1.0
10,602,0.185,1.0
10,604,0.621,1.49
10,618,0.185,1.0
11,1,0.576,1.38
11,3,0.294,1.0
11,4,0.464,1.11
11,5,0.689,1.65
11,7,0.603,1.45
11,8,0.589,1.41
11,10,0.561,1.35
11,13,0.49,1.18
11,14,0.657,1.58
11,15,0.172,1.0
11,16,0.028,1.0
11,19,0.108,1.0
11,20,0.223,1.0
11,21,0.523,1.26
11,23,0.694,1.67
11,25,0.588,1.41
11,28,0.616,1.48
11,31,0.656,1.58
11,33,0.187,1.0
11,34,0.692,1.66
11,37,0.326,1.0
11,38,0.542,1.3
11,39,0.388,1.0
11,44,0.625,1.5
11,45,0.634,1.52
11,47,0.205,1.0
11,49,0.628,1.51
11,51,0.561,1.35
11,52,0.579,1.39
11,54,0.65,1.56
11,56,0.201,1.0
11,58,0.42,1.01
11,60,0.599,1.44
11,61,0.318,1.0
11,62,0.262,1.0
11,63,0.389,1.0
11,65,0.284,1.0
11,66,0.649,1.56
11,67,0.502,1.2
11,68,0.619,1.49
11,70,0.374,1.0
11,76,0.473,1.13
11,78,0.586,1.41
11,81,0.657,1.58
11,83,0.362,1.0
11,85,0.655,1.57
11,86,0.263,1.0
11,88,0.289,1.0
11,89,0.62,1.49
11,91,0.472,1.13
11,92,0.396,1.0
11,94,0.209,1.0
11,99,0.595,1.43
11,100,0.628,1.51
11,153,0.231,1.0
11,154,0.55,1.32
11,156,0.544,1.31
11,157,0.134,1.0
11,159,0.474,1.14
11,164,0.659,1.58
11,166,0.611,1.47
11,167,0.493,1.18
11,169,0.431,1.04
11,170,0.396,1.0
11,171,0.586,1.41
11,172,0.425,1.02
11,173,0.53,1.27
11,174,0.54,1.3
11,175,0.653,1.57
11,176,0.691,1.66
11,177,0.45,1.08
11,178,0.472,1.13
11,179,0.536,1.29
11,180,0.413,1.0
11,181,0.636,1.53
11,183,0.397,1.0
11,184,0.298,1.0
11,188,0.208,1.0
11,189,0.623,1.49
11,190,0.482,1.16
11,191,0.625,1.5
11,192,0.138,1.0
11,193,0.29,1.0
11,194,0.366,1.0
11,197,0.204,1.0
11,198,0.509,1.22
11,199,0.497,1.19
11,601,0.606,1.45
11,602,0.519,1.25
11,603,0.309,1.0
11,618,0.519,1.25
11,629,0.671,1.61
12,1,0.265,1.0
12,2,0.121,1.0
12,4,0.408,1.0
12,5,0.15,1.0
12,6,0.354,1.0
12,7,0.455,1.09
12,8,0.608,1.46
12,9,0.401,1.0
12,10,0.278,1.0
12,13,0.597,1.43
12,14,0.32,1.0
12,18,0.307,1.0
12,21,0.317,1.0
12,22,0.228,1.0
12,23,0.426,1.02
12,24,0.428,1.03
12,25,0.484,1.16
12,26,0.07,1.0
12,28,0.65,1.56
12,29,0.599,1.44
12,30,0.387,1.0
12,32,0.631,1.51
12,34,0.179,1.0
12,35,0.09,1.0
12,37,0.592,1.42
12,38,0.519,1.25
12,39,0.694,1.66
12,40,0.147,1.0
12,41,0.352,1.0
12,43,0.117,1.0
12,44,0.698,1.67
12,45,0.284,1.0
12,46,0.64,1.54
12,47,0.633,1.52
12,48,0.542,1.3
12,53,0.19,1.0
12,54,0.402,1.0
12,56,0.635,1.52
12,57,0.441,1.06
12,59,0.229,1.0
12,60,0.529,1.27
12,63,0.554,1.33
12,66,0.238,1.0
12,68,0.487,1.17
12,70,0.564,1.35
12,71,0.6,1.44
12,72,0.419,1.0
12,73,0.341,1.0
12,75,0.151,1.0
12,77,0.504,1.21
12,78,0.31,1.0
12,79,0.293,1.0
12,80,0.114,1.0
12,81,0.608,1.46
12,82,0.491,1.18
12,83,0.494,1.19
12,84,0.222,1.0
12,85,0.18,1.0
12,88,0.608,1.46
12,89,0.434,1.04
12,90,0.445,1.07
12,92,0.442,1.06
12,93,0.343,1.0
12,94,0.632,1.52
12,95,0.208,1.0
12,96,0.36,1.0
12,97,0.51,1.22
12,99,0.414,1.0
12,154,0.294,1.0
12,164,0.295,1.0
12,169,0.662,1.59
12,173,0.376,1.0
12,184,0.599,1.44
12,190,0.375,1.0
12,197,0.64,1.54
12,550,0.674,1.62
12,601,0.234,1.0
12,602,0.362,1.0
12,604,0.397,1.0
12,618,0.362,1.0
13,1,0.453,1.09
13,2,0.568,1.36
13,3,0.656,1.58
13,4,0.241,1.0
13,5,0.504,1.21
13,6,0.61,1.46
13,7,0.166,1.0
13,9,0.658,1.58
13,10,0.374,1.0
13,11,0.49,1.18
13,12,0.597,1.43
13,14,0.29,1.0
13,15,0.337,1.0
13,16,0.508,1.22
13,19,0.387,1.0
13,20,0.293,1.0
13,21,0.427,1.03
13,22,0.529,1.27
13,23,0.25,1.0
13,24,0.293,1.0
13,25,0.692,1.66
13,26,0.662,1.59
13,29,0.64,1.54
13,30,0.445,1.07
13,31,0.252,1.0
13,33,0.463,1.11
13,34,0.419,1.01
13,35,0.646,1.55
13,37,0.181,1.0
13,38,0.677,1.63
13,39,0.13,1.0
13,40,0.566,1.36
13,43,0.689,1.65
13,44,0.166,1.0
13,45,0.314,1.0
13,46,0.445,1.07
13,47,0.398,1.0
13,48,0.239,1.0
13,49,0.177,1.0
13,50,0.482,1.16
13,51,0.212,1.0
13,54,0.229,1.0
13,56,0.386,1.0
13,58,0.554,1.33
13,62,0.677,1.62
13,63,0.132,1.0
13,64,0.517,1.24
13,65,0.591,1.42
13,66,0.556,1.33
13,68,0.158,1.0
13,69,0.266,1.0
13,70,0.553,1.33
13,75,0.45,1.08
13,76,0.174,1.0
13,78,0.291,1.0
13,80,0.498,1.19
13,81,0.168,1.0
13,83,0.437,1.05
13,84,0.664,1.59
13,85,0.462,1.11
13,86,0.279,1.0
13,88,0.506,1.22
13,89,0.19,1.0
13,92,0.314,1.0
13,94,0.414,1.0
13,95,0.446,1.07
13,99,0.647,1.55
13,100,0.356,1.0
13,153,0.611,1.47
13,154,0.451,1.08
13,157,0.603,1.45
13,160,0.47,1.13
13,164,0.618,1.48
13,169,0.081,1.0
13,173,0.539,1.29
13,180,0.575,1.38
13,184,0.214,1.0
13,188,0.697,1.67
13,190,0.456,1.09
13,192,0.49,1.18
13,194,0.529,1.27
13,197,0.424,1.02
13,601,0.399,1.0
13,602,0.506,1.21
13,618,0.506,1.21
14,1,0.282,1.0
14,2,0.278,1.0
14,4,0.199,1.0
14,5,0.269,1.0
14,6,0.357,1.0
14,7,0.135,1.0
14,8,0.694,1.66
14,9,0.412,1.0
14,10,0.202,1.0
14,11,0.657,1.58
14,12,0.32,1.0
14,13,0.29,1.0
14,15,0.553,1.33
14,16,0.682,1.64
14,18,0.623,1.5
14,19,0.578,1.39
14,20,0.524,1.26
14,21,0.293,1.0
14,22,0.248,1.0
14,23,0.123,1.0
14,24,0.15,1.0
14,25,0.58,1.39
14,26,0.389,1.0
14,29,0.483,1.16
14,30,0.233,1.0
14,31,0.485,1.16
14,33,0.698,1.68
14,34,0.153,1.0
14,35,0.358,1.0
14,37,0.347,1.0
14,38,0.588,1.41
14,39,0.404,1.0
14,40,0.277,1.0
14,41,0.532,1.28
14,43,0.425,1.02
14,44,0.378,1.0
14,45,0.06,1.0
14,46,0.401,1.0
14,47,0.486,1.17
14,48,0.24,1.0
14,49,0.393,1.0
14,51,0.485,1.16
14,53,0.444,1.07
14,54,0.084,1.0
14,56,0.48,1.15
14,57,0.619,1.49
14,59,0.534,1.28
14,60,0.628,1.51
14,63,0.291,1.0
14,66,0.363,1.0
14,68,0.167,1.0
14,69,0.403,1.0
14,70,0.534,1.28
14,72,0.625,1.5
14,73,0.569,1.37
14,75,0.169,1.0
14,76,0.463,1.11
14,78,0.093,1.0
14,79,0.613,1.47
14,80,0.24,1.0
14,81,0.29,1.0
14,82,0.579,1.39
14,83,0.418,1.0
14,84,0.378,1.0
14,85,0.236,1.0
14,86,0.529,1.27
14,88,0.532,1.28
14,89,0.114,1.0
14,92,0.296,1.0
14,93,0.614,1.47
14,94,0.494,1.18
14,95,0.158,1.0
14,96,0.608,1.46
14,97,0.663,1.59
14,99,0.516,1.24
14,100,0.629,1.51
14,154,0.3,1.0
14,164,0.439,1.05
14,169,0.364,1.0
14,173,0.419,1.01
14,184,0.368,1.0
14,190,0.355,1.0
14,192,0.595,1.43
14,197,0.504,1.21
14,601,0.193,1.0
14,602,0.387,1.0
14,604,0.53,1.27
14,618,0.387,1.0
15,1,0.548,1.31
15,3,0.431,1.03
